epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,9889.58,0.89974,0.95088,0.24234,1.23156,0,0.60044,0.46363,0.52638,0.37754,0.56015,0.42787,0.45258,0.30194,0.97872,0.97956,0.26056,1.30704,0,0.00101,0.00101,0.00101
52,10079.6,0.9023,0.93963,0.24441,1.22527,0,0.60836,0.45129,0.50868,0.36628,0.56083,0.40937,0.4357,0.28824,0.97382,0.99657,0.26353,1.29948,0,0.0009902,0.0009902,0.0009902
53,10276.3,0.87764,0.9464,0.23233,1.21226,0,0.60158,0.48952,0.5242,0.38583,0.58755,0.43033,0.45065,0.30226,0.93862,0.96807,0.25723,1.26926,0,0.0009704,0.0009704,0.0009704
54,10464,0.85721,0.94,0.2365,1.19949,0,0.60787,0.45683,0.50514,0.36666,0.55186,0.41302,0.42211,0.28061,0.957,1.00388,0.26474,1.28872,0,0.0009506,0.0009506,0.0009506
55,10654.2,0.86522,0.94382,0.23626,1.20542,0,0.57709,0.49469,0.53788,0.39456,0.54641,0.45746,0.47369,0.31332,0.9492,0.9745,0.25196,1.27469,0,0.0009308,0.0009308,0.0009308
56,10842.8,0.86135,0.93241,0.23397,1.20352,0,0.58238,0.48335,0.52028,0.38169,0.55253,0.4365,0.45007,0.3042,0.96885,0.98978,0.26688,1.30334,0,0.000911,0.000911,0.000911
57,11035.8,0.86963,0.95259,0.23225,1.20693,0,0.62327,0.51665,0.55944,0.41198,0.57082,0.47349,0.48879,0.32506,0.94176,0.96849,0.24024,1.29189,0,0.0008912,0.0008912,0.0008912
58,11224.8,0.83395,0.91727,0.22137,1.17164,0,0.6046,0.50555,0.54446,0.39815,0.56166,0.45818,0.4713,0.31222,0.93376,0.96582,0.24623,1.27249,0,0.0008714,0.0008714,0.0008714
59,11418.3,0.83023,0.89588,0.22006,1.17452,0,0.57817,0.50702,0.52947,0.39207,0.55159,0.45623,0.45697,0.29474,0.919,0.99726,0.25371,1.26811,0,0.0008516,0.0008516,0.0008516
60,11605.8,0.82407,0.91865,0.22348,1.16988,0,0.59797,0.50678,0.54287,0.40589,0.55384,0.45376,0.47125,0.31396,0.90227,0.93747,0.24944,1.24482,0,0.0008318,0.0008318,0.0008318
61,11795.6,0.81146,0.88103,0.21693,1.16334,0,0.59394,0.52158,0.55221,0.40888,0.55944,0.48853,0.48698,0.32748,0.90168,0.94142,0.24681,1.26377,0,0.000812,0.000812,0.000812
62,11988.1,0.80506,0.90214,0.21881,1.1527,0,0.62747,0.49637,0.55531,0.40816,0.57387,0.43773,0.46176,0.31505,0.89822,0.94412,0.24647,1.24844,0,0.0007922,0.0007922,0.0007922
63,12177.5,0.78567,0.87745,0.2105,1.14132,0,0.61359,0.52528,0.56171,0.41558,0.59613,0.45006,0.48186,0.32443,0.88824,0.95021,0.23891,1.24205,0,0.0007724,0.0007724,0.0007724
64,12372.9,0.78186,0.87383,0.20878,1.14032,0,0.61859,0.51295,0.55198,0.41453,0.58938,0.44266,0.48039,0.32342,0.91235,0.95849,0.2445,1.26659,0,0.0007526,0.0007526,0.0007526
65,12562.2,0.76565,0.8686,0.20416,1.12216,0,0.62285,0.50678,0.55914,0.41631,0.5698,0.45499,0.47372,0.32272,0.88807,0.92824,0.23617,1.24365,0,0.0007328,0.0007328,0.0007328
66,12757.6,0.76265,0.84607,0.20529,1.12743,0,0.61633,0.52774,0.57738,0.42525,0.56894,0.47102,0.49831,0.33207,0.87981,0.92901,0.23801,1.24975,0,0.000713,0.000713,0.000713
67,12950.9,0.75625,0.84002,0.20008,1.11759,0,0.60557,0.50545,0.55393,0.4159,0.60706,0.44883,0.48483,0.33079,0.88417,0.91857,0.23936,1.24387,0,0.0006932,0.0006932,0.0006932
68,13143.9,0.74913,0.85954,0.20178,1.11459,0,0.63096,0.52774,0.58049,0.4367,0.59142,0.48547,0.50803,0.34703,0.86006,0.91745,0.22819,1.22804,0,0.0006734,0.0006734,0.0006734
69,13340.9,0.7391,0.84592,0.19911,1.10611,0,0.64449,0.51418,0.57546,0.43331,0.58307,0.45499,0.4892,0.33421,0.87318,0.93016,0.23117,1.24024,0,0.0006536,0.0006536,0.0006536
70,13534.1,0.73007,0.81563,0.19293,1.09995,0,0.6361,0.52808,0.58311,0.4386,0.61656,0.45746,0.49304,0.34071,0.86723,0.89975,0.2254,1.24093,0,0.0006338,0.0006338,0.0006338
71,13723.3,0.72384,0.80966,0.19121,1.09414,0,0.63113,0.49445,0.56187,0.42588,0.59443,0.45129,0.48998,0.33786,0.87017,0.91206,0.23332,1.24043,0,0.000614,0.000614,0.000614
72,13911.3,0.71591,0.81026,0.18926,1.09082,0,0.6795,0.49568,0.5828,0.44136,0.66948,0.45869,0.51392,0.34693,0.86671,0.89476,0.22232,1.24655,0,0.0005942,0.0005942,0.0005942
73,14103.7,0.70747,0.79827,0.18547,1.08194,0,0.67193,0.51541,0.59085,0.44437,0.65038,0.45645,0.5157,0.34808,0.84702,0.88973,0.2235,1.2261,0,0.0005744,0.0005744,0.0005744
74,14294,0.68166,0.78584,0.18326,1.06777,0,0.63226,0.52404,0.58251,0.44129,0.59241,0.47226,0.51555,0.35172,0.8471,0.88268,0.22676,1.22485,0,0.0005546,0.0005546,0.0005546
75,14483.8,0.67295,0.77694,0.17984,1.0633,0,0.67143,0.51911,0.58595,0.44688,0.64681,0.47349,0.52208,0.34994,0.83849,0.87975,0.22212,1.21288,0,0.0005348,0.0005348,0.0005348
76,14674.7,0.68092,0.78712,0.18056,1.064,0,0.66725,0.53268,0.60243,0.45259,0.60407,0.48212,0.5196,0.35014,0.84253,0.87427,0.21665,1.22329,0,0.000515,0.000515,0.000515
77,14869.5,0.67491,0.79029,0.17616,1.0638,0,0.59866,0.56283,0.5993,0.46155,0.64335,0.47155,0.53319,0.35967,0.82599,0.90137,0.21774,1.20777,0,0.0004952,0.0004952,0.0004952
78,15058.3,0.65368,0.76481,0.17285,1.05054,0,0.65566,0.53295,0.59738,0.46179,0.60789,0.49199,0.52852,0.36375,0.793,0.87614,0.21105,1.19227,0,0.0004754,0.0004754,0.0004754
79,15250.7,0.6499,0.76159,0.16898,1.04493,0,0.64316,0.52774,0.59117,0.45051,0.61397,0.47719,0.51448,0.35109,0.83932,0.88527,0.21904,1.21623,0,0.0004556,0.0004556,0.0004556
80,15436.8,0.64137,0.7446,0.16521,1.03396,0,0.68139,0.5195,0.60635,0.46222,0.63807,0.47842,0.53234,0.35764,0.83458,0.89601,0.21663,1.21158,0,0.0004358,0.0004358,0.0004358
81,15624.4,0.64409,0.7569,0.17087,1.03996,0,0.65567,0.5524,0.60211,0.45836,0.59876,0.49938,0.51766,0.35825,0.80284,0.86396,0.21972,1.19179,0,0.000416,0.000416,0.000416
82,15818.4,0.63756,0.73607,0.16622,1.03145,0,0.71045,0.52947,0.60696,0.46571,0.66243,0.48582,0.53274,0.36185,0.80028,0.85608,0.21192,1.19714,0,0.0003962,0.0003962,0.0003962
83,16007.2,0.62833,0.74773,0.16191,1.03228,0,0.70521,0.52035,0.61137,0.47284,0.66774,0.48569,0.53934,0.36877,0.79575,0.85666,0.20906,1.18994,0,0.0003764,0.0003764,0.0003764
84,16193.8,0.62428,0.72852,0.16101,1.02758,0,0.6874,0.52898,0.60014,0.45823,0.63798,0.47472,0.51689,0.35563,0.80164,0.84372,0.21267,1.19528,0,0.0003566,0.0003566,0.0003566
85,16382.5,0.62117,0.73231,0.15896,1.02313,0,0.66737,0.53637,0.59993,0.46626,0.64963,0.4824,0.52367,0.36551,0.77666,0.84815,0.21034,1.18072,0,0.0003368,0.0003368,0.0003368
86,16576.3,0.59328,0.70454,0.15332,1.00613,0,0.70868,0.49494,0.60136,0.46724,0.67794,0.46239,0.53326,0.36389,0.80247,0.8482,0.21596,1.19753,0,0.000317,0.000317,0.000317
87,16769.6,0.60775,0.71441,0.15397,1.01268,0,0.63246,0.56227,0.60895,0.47391,0.59683,0.52404,0.53929,0.37348,0.79101,0.84394,0.20842,1.18458,0,0.0002972,0.0002972,0.0002972
88,16957.7,0.59474,0.71231,0.15143,1.01008,0,0.67786,0.53189,0.60714,0.474,0.64273,0.50678,0.54705,0.37645,0.78327,0.82936,0.20664,1.18803,0,0.0002774,0.0002774,0.0002774
89,17151,0.58276,0.70446,0.14978,0.99722,0,0.68282,0.54994,0.62011,0.48049,0.65569,0.50555,0.54279,0.37021,0.77887,0.84211,0.20556,1.18425,0,0.0002576,0.0002576,0.0002576
