epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,9953.61,0.81693,1.37583,0.85662,1.18441,0,0.72247,0.5709,0.64558,0.49188,0.70513,0.55487,0.59896,0.4262,0.80905,1.32495,0.79701,1.20694,0,0.00171004,0.00171004,0.00171004
52,10136.1,0.77761,1.31119,0.81674,1.15994,0,0.68628,0.60543,0.65633,0.49911,0.63596,0.56104,0.59154,0.42314,0.80296,1.32143,0.78391,1.20353,0,0.00169895,0.00169895,0.00169895
53,10320.1,0.77862,1.32395,0.8036,1.15961,0,0.6452,0.60541,0.65799,0.5007,0.64068,0.54963,0.59143,0.4339,0.78327,1.29883,0.80248,1.1863,0,0.0016877,0.0016877,0.0016877
54,10502,0.76108,1.28598,0.80675,1.15169,0,0.65661,0.61529,0.65246,0.50699,0.63672,0.582,0.60009,0.42967,0.7754,1.32695,0.78453,1.19047,0,0.00167628,0.00167628,0.00167628
55,10681.7,0.75528,1.29454,0.82049,1.14622,0,0.70015,0.59309,0.66682,0.50626,0.67511,0.55855,0.60123,0.44001,0.8027,1.35256,0.7657,1.2242,0,0.0016647,0.0016647,0.0016647
56,10867,0.7621,1.25751,0.7879,1.14549,0,0.68777,0.5894,0.65953,0.50417,0.7384,0.50813,0.59817,0.43358,0.78066,1.33382,0.74713,1.19935,0,0.00165295,0.00165295,0.00165295
57,11046.5,0.74595,1.29463,0.79344,1.13564,0,0.7094,0.59803,0.6753,0.5149,0.70769,0.53268,0.61208,0.43945,0.77483,1.29859,0.74017,1.21466,0,0.00164105,0.00164105,0.00164105
58,11226,0.7401,1.27184,0.78763,1.14177,0,0.68741,0.62366,0.67392,0.51706,0.69021,0.56227,0.61345,0.44245,0.78692,1.30921,0.74581,1.2193,0,0.00162899,0.00162899,0.00162899
59,11404.7,0.72676,1.25714,0.76232,1.12382,0,0.71895,0.61192,0.68033,0.52194,0.68591,0.5709,0.61089,0.43597,0.76737,1.331,0.72478,1.2032,0,0.00161678,0.00161678,0.00161678
60,11588.1,0.72319,1.24438,0.7658,1.12531,0,0.65967,0.61663,0.66293,0.5194,0.67891,0.54747,0.60097,0.44484,0.74614,1.31484,0.76338,1.1763,0,0.00160442,0.00160442,0.00160442
61,11767.4,0.73552,1.23066,0.74738,1.12831,0,0.70778,0.64118,0.68015,0.51648,0.67304,0.60156,0.62608,0.44789,0.78692,1.33281,0.73286,1.20879,0,0.00159191,0.00159191,0.00159191
62,11950.4,0.72458,1.21251,0.75892,1.1191,0,0.72288,0.62145,0.68919,0.53685,0.71002,0.58446,0.63431,0.45928,0.71765,1.27418,0.72872,1.161,0,0.00157926,0.00157926,0.00157926
63,12128.8,0.69404,1.18111,0.73483,1.10385,0,0.74183,0.60588,0.68421,0.52984,0.70302,0.5598,0.61744,0.4544,0.75005,1.31633,0.7306,1.18884,0,0.00156646,0.00156646,0.00156646
64,12311.5,0.71559,1.23153,0.73971,1.11274,0,0.7273,0.60543,0.68555,0.5372,0.68665,0.5672,0.6238,0.44747,0.73958,1.3037,0.72162,1.17169,0,0.00155353,0.00155353,0.00155353
